=== Estatísticas para dietas-regular.json ===
Nutriente: Alfa-tocoferol (Vitamina E) | Média: 6.08 | Desvio Padrão: 1.16
Nutriente: Açúcar de adição | Média: 10.78 | Desvio Padrão: 9.18
Nutriente: Carboidrato disponível | Média: 182.33 | Desvio Padrão: 24.93
Nutriente: Carboidrato total | Média: 209.19 | Desvio Padrão: 28.01
Nutriente: Cinzas | Média: 15.76 | Desvio Padrão: 1.95
Nutriente: Cobre | Média: 1.27 | Desvio Padrão: 0.27
Nutriente: Colesterol | Média: 422.41 | Desvio Padrão: 84.29
Nutriente: Cálcio | Média: 1030.97 | Desvio Padrão: 135.70
Nutriente: Energia | Média: 1703.26 | Desvio Padrão: 239.00
Nutriente: Equivalente de folato | Média: 365.69 | Desvio Padrão: 63.71
Nutriente: Ferro | Média: 10.39 | Desvio Padrão: 1.46
Nutriente: Fibra alimentar | Média: 27.14 | Desvio Padrão: 4.19
Nutriente: Fósforo | Média: 1496.38 | Desvio Padrão: 225.42
Nutriente: Gordura de adição | Média: 1.79 | Desvio Padrão: 0.92
Nutriente: Lipídios | Média: 55.69 | Desvio Padrão: 13.67
Nutriente: Magnésio | Média: 313.06 | Desvio Padrão: 44.81
Nutriente: Manganês | Média: 3.06 | Desvio Padrão: 0.72
Nutriente: Niacina | Média: 24.32 | Desvio Padrão: 8.00
Nutriente: Potássio | Média: 2850.48 | Desvio Padrão: 389.34
Nutriente: Proteína | Média: 104.72 | Desvio Padrão: 20.46
Nutriente: Proteína animal | Média: 22.79 | Desvio Padrão: 4.53
Nutriente: Proteína vegetal | Média: 9.47 | Desvio Padrão: 1.77
Nutriente: Riboflavina | Média: 1.37 | Desvio Padrão: 0.19
Nutriente: Sal de adição | Média: 2.68 | Desvio Padrão: 0.40
Nutriente: Selênio | Média: 152.74 | Desvio Padrão: 113.40
Nutriente: Sódio | Média: 1869.93 | Desvio Padrão: 291.96
Nutriente: Tiamina | Média: 1.08 | Desvio Padrão: 0.45
Nutriente: Umidade | Média: 1280.97 | Desvio Padrão: 142.32
Nutriente: Vitamina A (RAE) | Média: 735.90 | Desvio Padrão: 150.07
Nutriente: Vitamina A (RE) | Média: 1283.96 | Desvio Padrão: 270.67
Nutriente: Vitamina B12 | Média: 5.38 | Desvio Padrão: 1.36
Nutriente: Vitamina B6 | Média: 0.59 | Desvio Padrão: 0.15
Nutriente: Vitamina C | Média: 146.92 | Desvio Padrão: 31.75
Nutriente: Vitamina D | Média: 2.40 | Desvio Padrão: 0.88
Nutriente: Zinco | Média: 13.56 | Desvio Padrão: 2.42
Nutriente: Ácidos graxos monoinsaturados | Média: 17.43 | Desvio Padrão: 4.53
Nutriente: Ácidos graxos poliinsaturados | Média: 12.58 | Desvio Padrão: 5.03
Nutriente: Ácidos graxos saturados | Média: 20.52 | Desvio Padrão: 4.25
Nutriente: Ácidos graxos trans | Média: 0.93 | Desvio Padrão: 0.29
Nutriente: Álcool | Média: 0.00 | Desvio Padrão: 0.00

--- Pegadas Ambientais ---
Pegada: Carbon Footprint | Média: 540.08 | Desvio Padrão: 158.79
Pegada: Water Footprint | Média: 440.94 | Desvio Padrão: 111.59
Pegada: Ecological Footprint | Média: 3.57 | Desvio Padrão: 1.12

Alimentos não encontrados no TBCA:
